cherry_0 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_17 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_18 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_19 - DSBs£º8, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.25
hawthorn_1 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_2 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_3 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_4 - DSBs£º6, CMSBs£º6, Accuracy: 0.8333333333333334, Miss_rate: 0.0
hawthorn_5 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_6 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_7 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_8 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_9 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
olive_0 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
olive_10 - DSBs£º10, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.1
olive_11 - DSBs£º8, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.125
olive_12 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
olive_13 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
olive_14 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
olive_15 - DSBs£º8, CMSBs£º7, Accuracy: 0.8571428571428571, Miss_rate: 0.125
olive_16 - DSBs£º8, CMSBs£º7, Accuracy: 0.14285714285714285, Miss_rate: 0.125
olive_17 - DSBs£º12, CMSBs£º12, Accuracy: 0.9166666666666666, Miss_rate: 0.0
olive_18 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
olive_19 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
olive_1 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
olive_2 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
olive_3 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
olive_4 - DSBs£º9, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.1111111111111111
olive_5 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
olive_6 - DSBs£º9, CMSBs£º9, Accuracy: 0.8888888888888888, Miss_rate: 0.0
olive_7 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
olive_8 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
olive_9 - DSBs£º7, CMSBs£º7, Accuracy: 0.8571428571428571, Miss_rate: 0.0
plum_0 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
plum_10 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
plum_11 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
plum_12 - DSBs£º10, CMSBs£º10, Accuracy: 1.0, Miss_rate: 0.0
plum_13 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
plum_14 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
plum_15 - DSBs£º6, CMSBs£º6, Accuracy: 0.8333333333333334, Miss_rate: 0.0
plum_16 - DSBs£º11, CMSBs£º10, Accuracy: 0.7, Miss_rate: 0.09090909090909091
plum_17 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
plum_18 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
plum_19 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
plum_1 - DSBs£º6, CMSBs£º6, Accuracy: 0.8333333333333334, Miss_rate: 0.0
plum_2 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
plum_3 - DSBs£º7, CMSBs£º7, Accuracy: 0.7142857142857143, Miss_rate: 0.0
plum_4 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
plum_5 - DSBs£º8, CMSBs£º8, Accuracy: 0.875, Miss_rate: 0.0
plum_6 - DSBs£º6, CMSBs£º6, Accuracy: 0.8333333333333334, Miss_rate: 0.0
plum_7 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
plum_8 - DSBs£º10, CMSBs£º10, Accuracy: 0.8, Miss_rate: 0.0
plum_9 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
walnut_0 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
walnut_10 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
walnut_11 - DSBs£º8, CMSBs£º8, Accuracy: 0.875, Miss_rate: 0.0
walnut_12 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
walnut_13 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
walnut_14 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
walnut_15 - DSBs£º11, CMSBs£º11, Accuracy: 0.9090909090909091, Miss_rate: 0.0
walnut_16 - DSBs£º7, CMSBs£º7, Accuracy: 0.7142857142857143, Miss_rate: 0.0
walnut_17 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
walnut_18 - DSBs£º11, CMSBs£º11, Accuracy: 1.0, Miss_rate: 0.0
walnut_19 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
walnut_1 - DSBs£º11, CMSBs£º11, Accuracy: 1.0, Miss_rate: 0.0
walnut_2 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
walnut_3 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
walnut_4 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
walnut_5 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
walnut_6 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
walnut_7 - DSBs£º8, CMSBs£º8, Accuracy: 0.875, Miss_rate: 0.0
walnut_8 - DSBs£º11, CMSBs£º11, Accuracy: 1.0, Miss_rate: 0.0
walnut_9 - DSBs£º10, CMSBs£º10, Accuracy: 1.0, Miss_rate: 0.0
Avg.DSBs£º7.8
Accuracy£º0.9568409090909088
Miss_rate£º0.01027020202020202
